Simulation,Tiempo promedio,GGrr (s),yyrr (s),rrGG (s),rryy (s),Autos r_0,Autos r_1
1,73.55250905328505,17,4,56,2,4500,26000
2,47.47444021968737,48,5,57,2,18000,10000
3,37.7914551607445,27,2,30,4,15000,2000
4,84.61223312175419,13,4,58,3,25500,26000
5,56.974967630556755,18,3,15,3,6000,12000
6,61.585043319653444,21,3,44,5,25500,24000
7,82.03997779011661,34,4,11,4,16500,12000
8,44.78804578211106,39,5,43,5,12000,4000
9,45.65331083930831,36,4,55,4,27000,4000
10,35.88729421696919,24,2,31,2,6000,14000
11,67.8757946210269,60,3,28,4,12000,2000
12,74.88877338877339,50,2,19,4,4500,28000
13,58.1830035971223,58,3,35,2,7500,6000
14,55.32757876564523,32,4,24,2,16500,2000
15,43.856842105263155,32,2,56,3,6000,2000
16,76.56404849762784,12,2,39,3,3000,4000
17,43.602878916172735,38,5,44,3,19500,6000
18,56.81088196577446,26,5,49,4,16500,16000
19,43.99110922946655,39,2,50,4,22500,16000
20,93.21604548325963,58,2,10,3,25500,20000
21,50.79041154009334,23,5,38,3,15000,14000
22,58.44307149161518,58,5,40,5,12000,22000
23,71.14856307842182,16,5,10,2,27000,6000
24,41.93110735418428,40,5,34,2,24000,2000
25,76.45233050847457,46,4,17,4,10500,10000
26,56.585720581754074,27,5,53,4,22500,4000
27,31.718868720979316,11,2,14,3,18000,4000
28,39.09775708844689,34,3,35,2,16500,22000
29,69.92690058479532,22,2,12,5,1500,4000
30,45.28765379719983,54,2,49,2,15000,28000
31,46.892887383573246,52,2,60,2,6000,22000
32,48.080795262267344,60,3,50,3,9000,2000
33,41.208280523869874,36,2,43,3,22500,6000
34,63.47072278133577,19,5,37,5,10500,16000
35,58.47092511013216,20,3,37,5,19500,16000
36,66.66618566618567,53,3,26,3,16500,20000
37,79.72,14,5,52,4,10500,14000
38,45.76754015215554,51,5,41,2,21000,10000
39,87.90994702766334,48,5,12,4,3000,2000
40,38.81326573722011,25,5,31,3,15000,26000
41,81.2713004484305,14,5,59,2,12000,24000
42,41.444959932517925,38,4,39,2,7500,20000
43,41.22348964934516,41,2,37,3,3000,2000
44,58.34590092064884,34,4,25,4,3000,28000
45,49.92178301093356,58,3,58,5,27000,8000
46,45.437156157427,38,5,46,5,27000,28000
47,64.2550831792976,38,5,23,3,10500,24000
48,62.0503663003663,51,3,30,4,16500,26000
49,79.53451131971286,59,2,17,2,6000,16000
50,77.83484767504008,36,2,12,2,3000,22000
51,41.76737288135593,31,5,39,4,13500,16000
52,86.70835803200949,57,5,13,2,9000,8000
53,63.894567219152854,14,3,29,3,25500,2000
54,66.31747572815534,20,5,53,2,3000,8000
55,65.58871353419417,19,2,49,3,19500,20000
56,61.20181818181818,45,2,27,4,9000,12000
57,67.0932244113407,50,3,25,5,27000,14000
58,41.63539898132428,30,5,41,3,1500,28000
59,60.40035906642729,36,2,22,2,22500,20000
60,74.08068714211348,17,4,55,4,4500,24000
61,44.121250528094635,30,5,46,5,7500,2000
62,69.16177178623013,13,4,27,4,18000,22000
63,42.633136094674555,28,5,44,4,22500,2000
64,81.75791227096057,34,4,11,4,19500,16000
65,68.30570196454241,13,2,28,5,24000,14000
66,47.41878172588832,50,5,50,3,7500,14000
67,47.21016949152543,54,2,52,4,15000,2000
68,42.858958068614996,24,4,42,2,27000,14000
69,44.58703939008895,36,3,52,4,10500,20000
70,91.92379762648345,55,2,10,3,6000,6000
71,50.57514944491887,29,2,23,4,10500,12000
72,54.52943722943723,60,3,41,2,27000,6000
73,34.24693963697763,18,4,19,3,1500,8000
74,49.473086627418,60,2,60,4,4500,2000
75,46.870558375634516,50,4,55,2,7500,4000
76,61.32823741007194,32,3,21,3,21000,12000
77,60.41530797101449,51,3,31,3,9000,26000
78,71.75911330049261,10,2,21,5,18000,18000
79,36.332770270270274,28,3,26,2,19500,8000
80,70.63165608207133,27,4,15,5,19500,6000
81,78.40106951871658,11,3,34,4,9000,12000
82,59.54157403290351,38,4,25,2,27000,8000
83,81.0957095709571,10,3,34,3,7500,24000
84,69.30283441074093,49,2,21,2,4500,28000
85,59.57949609035621,17,5,16,4,6000,8000
86,41.95479509928179,40,3,36,4,19500,4000
87,37.333615221987316,27,3,32,2,9000,22000
88,69.92728184553661,18,3,53,4,13500,20000
89,51.899744027303754,32,4,58,4,16500,24000
90,50.53604749787956,27,5,47,3,3000,20000
91,46.62314540059347,52,2,48,5,6000,16000
92,72.60953346855983,15,5,42,2,21000,16000
93,67.63756097560976,18,2,50,4,21000,4000
94,62.00751547303271,14,5,12,2,13500,10000
95,41.6129168425496,36,4,39,3,13500,26000
96,47.558898305084746,23,4,39,3,6000,24000
97,47.74428450465707,54,5,52,2,25500,6000
98,61.79981760145919,19,2,40,4,15000,4000
99,55.857834507042256,28,4,57,2,15000,6000
100,75.40618448637316,50,5,19,3,10500,16000
