Simulation,Tiempo promedio,GGrr (s),yyrr (s),rrGG (s),rryy (s)
1,43.541666666666664,26.25039502489657,3.408231071602202,15.043018304135956,2.9439940339347497
2,39.7709327548807,18.766915746675185,2.926916058968479,15.86111068747439,3.8975006903984992
3,39.4146897810219,31.581840604058616,4.158309846373081,46.225701220421094,3.7699422415839092
4,39.04324078288575,40.53427764246267,2.5003019792868204,42.77785011093295,2.6633792114216943
5,42.265257087938494,46.08413435630613,2.895202063680367,43.82143303248048,4.834332594010734
6,44.593120393120394,58.45633793265209,3.7248659340183172,25.787344409080262,4.818256734180997
7,55.02466091245376,10.705910547423072,4.536341606776292,59.927752892949236,3.500509169100229
8,42.6943359375,54.383737394101125,2.6293516621512873,45.12359482488161,2.9450003530683833
9,35.73405639913232,15.572436313453949,3.006404993489529,26.986008383776586,2.69375783123507
10,46.13193717277487,58.77466170216798,3.4434360299835287,57.528232826641755,2.949989788732488
11,44.451207243460765,59.13899532711039,3.575074879587869,46.26398168080775,2.661598418501967
12,51.08582292232482,40.66681607799504,2.897905021772407,13.476384430697049,4.660998741948118
13,42.75885492479379,59.55443906116678,3.3508066486538333,33.321906173987166,3.8205874182321082
14,35.744135534317984,22.255842257207362,4.929640652363551,33.85305583435864,4.030954851871762
15,39.64288980338363,41.116448792036145,4.378192790048423,41.194665146936416,2.1117387528992704
16,44.99745417515275,11.714531961973131,4.3771095013695875,31.365030557185193,2.895623443500136
17,44.18360655737705,19.227103374123864,3.4522115717437054,12.74215521861541,4.410496337777425
18,32.77481840193705,27.988981205771047,2.0154174265081437,27.993738001376506,4.010856522631814
19,42.986267778322706,59.109194440280056,2.844932115863039,39.29416637740239,3.5200826502109748
20,50.3957423580786,53.93116021135983,4.738128110774684,17.30628409561,2.4133030702681078
21,36.59409431467607,29.79592991708234,2.934713855135903,42.4111247145129,2.9587990959339
22,38.67226890756302,15.53280440598961,2.4688033817456647,35.100083878585835,3.105625150035186
23,35.886335658596636,27.34085126468089,3.5559021935279573,24.147867847533252,3.1400264730358796
24,38.795081967213115,30.466068006912103,4.343338889945622,47.94349400220633,2.271605378192858
25,38.68506056527591,47.07471332698669,3.283856294624795,33.650381470865554,2.030146943324259
