Simulation,Tiempo promedio,GGrr (s),yyrr (s),rrGG (s),rryy (s),Autos r_0,Autos r_1
1,70.08048192771085,20.797548073895125,3.2858284293827693,12.57926692960796,4.742645989728478,15000,10000
2,75.58940744625066,47.05580208667722,4.773003294457728,18.168463526202835,3.7983881574311447,3000,10000
3,61.910347903657446,28.44423462597216,3.77233156091244,21.312687755351647,4.992959414474655,7500,2000
4,58.80976277372263,26.197666885944773,4.690528530512975,59.16188185588467,2.2429123320941358,7500,10000
5,57.76879370629371,18.6541542262817,3.9034336145367865,15.28199591464256,2.8836495649268388,1500,6000
6,76.34901122394442,15.643472729809517,2.7757267662113043,55.63640932818461,4.10150827896682,6000,14000
7,66.56005719733079,44.16201126391649,4.122589347920044,22.92888635291699,3.211532634265555,13500,12000
8,62.07512597343106,50.39792960617509,3.4153614082046064,29.645013413959152,3.880212107545704,4500,14000
9,44.085350318471335,35.16076739079122,4.333368829052842,49.23142884798356,3.381950367622033,16500,8000
10,81.38189845474614,10.05219777414715,4.124722623318835,34.64871281142467,2.6129324050286007,16500,12000
1,56.34612031386225,23.5057198418664,3.94701753133506,43.38172320391243,4.210143808328184,13500,12000
2,90.75445058317986,52.61237030365738,4.685903563862473,10.78779015425307,4.288649163803022,10500,2000
3,79.51199563794984,55.95342998365,4.34641386877977,17.843914679410787,3.2895196851261668,4500,16000
4,33.2425137072965,15.9800536957684,2.5540549169690694,20.97683801532618,2.592255561563964,12000,16000
5,30.93223905723906,13.010096066168188,2.078712437890294,13.702770320905683,2.6054615988113072,4500,10000
6,45.1128010139417,31.880573445392542,4.406087231089875,51.7783338883686,4.744945201533573,12000,12000
7,78.75582024905252,43.27818784238806,3.5151320222849467,14.757303157602593,4.117301216602633,16500,16000
8,35.942096365173285,18.82823614041692,3.831992291334376,20.2584454910163,4.816842400891542,7500,6000
9,82.95192845164897,11.192196614319013,2.746657861937849,42.20069195107293,4.479905585661751,6000,20000
10,47.91624365482234,46.24661637586721,4.062603592136843,55.45251415990335,4.97855426250729,13500,2000
11,43.83967851099831,42.07176549936655,4.698422679331147,38.147831754240606,4.096155466906236,4500,14000
12,64.9891713747646,52.77263702913701,4.582340930299552,29.05751732361128,3.38425272547548,15000,14000
13,47.25556021821234,44.21233761627569,4.987667494271991,58.98479963402504,2.669382795484443,10500,14000
14,37.98730964467005,26.583611599528165,3.902117459023121,29.66197913148636,2.9089665004126117,9000,18000
15,67.01739971000484,18.50494312172512,2.9800823188192878,48.38558880719719,3.1636679650257555,7500,18000
16,35.24408783783784,16.111667909254592,4.253393553201729,20.772381932384683,4.043357118324902,7500,18000
17,32.65472175379426,12.419210052949545,2.3114770708698518,17.593855107162277,2.21821317841436,1500,18000
18,66.725,46.93036568363854,3.4014734299916274,24.15605908292845,4.28235085813354,16500,8000
19,66.46489563567363,28.195769889091007,2.0398670199595483,14.921415012846786,2.590676652559196,19500,16000
20,70.60179640718563,16.918741562364932,4.671603051042987,46.49836893667241,3.2787424190177124,1500,20000
21,38.83726812816189,33.21458889563352,3.5582732797672443,31.164870925645367,2.090691498707458,15000,16000
22,36.19839594765724,19.382546354046905,2.750473675009455,28.987430868134847,3.072593097067976,16500,14000
23,60.28660994178236,44.58636267521608,2.897172068384115,28.336474885555464,3.803807590160496,4500,4000
24,90.40634533251983,54.90753437245233,2.312492348074845,11.114573450639412,4.670627874148871,15000,12000
25,45.57480980557904,45.91535789764961,3.959370101010129,44.53681564247149,4.523872167686997,12000,6000
26,85.07287449392713,50.334679983992594,2.8479846934037365,12.50445353602407,3.1849893614300235,18000,18000
27,73.58898521162672,34.13204633195005,3.949286570222587,14.348404724376891,2.131644242749494,13500,14000
28,44.3663282571912,40.013653218084926,2.2898378507616743,55.810230221540486,2.2528651948491185,19500,12000
29,64.93605189990733,38.21805219810214,4.911829865293414,24.224675541049987,4.9650708791665785,13500,10000
30,66.65737626141278,44.5327427527463,4.6180337700802845,22.603024758794835,2.194592339348921,1500,18000
31,41.27241962774958,35.30449484603653,2.5895881928713207,45.28692539303442,2.1491631292080022,19500,18000
32,41.19346627068308,29.395757400523877,3.761463643618781,25.120638926791173,4.13549158230889,13500,14000
33,47.634550084889646,54.87495673538068,4.875320589617212,45.88311750536541,3.141351022330028,10500,20000
34,61.79175996417376,23.854705596529087,4.478312571133931,17.31526253939996,2.557522121897161,13500,8000
35,66.31789976133652,46.30099016263553,2.689323096982506,22.91964224735811,2.6213974313495667,16500,4000
36,79.85823754789271,45.62052451603764,4.6921656743802185,14.459092001445642,2.350804920978418,15000,12000
37,45.18518518518518,49.890477130823214,2.671935731982275,44.76854981357575,3.743323865120896,1500,18000
38,57.73878276321635,56.24701745559983,2.3561087189348298,36.06948500311411,3.95760882045442,6000,18000
39,66.02027345591702,32.614658820059525,2.821394820218504,18.73084716971467,4.06741546784874,16500,2000
40,78.27843986998917,50.60938028315555,3.121674992019924,16.9412606520613,4.669507590110403,3000,12000
41,52.07633262260128,29.39129639627882,2.5519255973590917,55.45496961771308,3.84992603871544,18000,14000
42,76.64177545691906,41.2485820893308,4.699103744826241,16.79256422136218,4.891006746653713,13500,14000
43,77.91318157755425,13.362798961009087,4.859078154289364,37.94372511474329,4.83391569909842,15000,12000
44,65.81507165973186,23.68791008281132,3.5761225048100247,15.846864075322262,4.516976832166906,15000,12000
45,56.42694663167104,23.28142312954489,3.421285469170109,43.915154118745086,4.649495294121278,1500,6000
46,88.8847072879331,55.345214004722976,3.4668911595030547,12.610860277349776,4.861407687756751,7500,6000
47,43.64194915254237,44.11220945016773,4.184063207303902,36.55500628714488,3.654126812342572,6000,10000
48,88.66487133453022,10.428726668118296,3.605342842413625,51.51060615810287,3.565213671852638,7500,10000
49,55.397678417884784,36.2385883836401,3.0570896063885296,28.110354603997823,4.244779437786796,13500,10000
50,40.136882129277566,38.29814430220463,2.8855938186767194,30.749563629787083,2.4620770652919077,1500,12000
51,72.83707865168539,16.30811231591812,3.2309936184510137,49.88878398107905,3.5540109580780475,3000,6000
52,43.63547840812871,38.72543026816344,3.321061936002704,46.90975358605251,3.386929494271561,13500,2000
53,77.15059927045336,21.05492664853417,4.592185347853201,10.242618188215832,4.617774912109825,1500,4000
54,76.26349206349207,15.593053729031976,4.120651741527172,52.88848477737925,3.248662753343081,3000,6000
55,36.70042194092827,19.2968327554266,4.7604734470295975,27.482938530436517,2.588163546617536,4500,16000
56,39.060093101989,27.418142760997466,3.7673493029552936,35.64527468497987,2.742273288110644,12000,2000
57,38.61115807269653,34.82735823696131,2.5792127373107805,29.90272117308335,2.6505484311988274,1500,6000
58,45.35069885641677,46.3754525181222,2.8109564025713896,48.06630134236672,4.088755105106635,10500,12000
59,80.09636563876651,42.79936662311932,3.188492275247772,13.279054029813985,3.222576499090636,9000,6000
60,78.68060836501901,44.24997694077368,2.8144679857474486,14.240607178520932,3.386702457375089,13500,10000
61,41.0385266723116,37.39116930319159,4.766995605017304,33.52042872652997,2.469696010316995,16500,20000
