Simulation,Tiempo promedio,GGrr (s),yyrr (s),rrGG (s),rryy (s),Autos r_0,Autos r_1
1,105.6798418972332,68,3,34,7,610,1810
2,105.45936981757878,52,3,50,6,410,810
3,105.21499013806707,62,7,38,7,310,210
4,102.57330827067669,64,3,30,3,510,610
5,113.48818897637796,52,5,63,5,410,1810
6,109.66077738515901,42,7,57,4,110,810
7,107.73970201577563,35,7,40,6,1210,1810
8,110.38106915154488,56,4,35,7,1010,1510
9,103.46102941176471,40,7,45,3,610,810
10,105.53532934131736,65,3,43,6,510,1910
11,103.1327967806841,58,4,68,5,510,10
12,118.45996686913307,70,5,58,6,1410,710
13,107.78995115143057,46,3,70,7,1210,310
14,104.24337866857552,33,3,52,7,710,710
15,106.6190765492102,50,6,43,6,610,1110
16,106.55977757182576,31,4,48,4,1110,1710
17,105.31384615384616,32,3,66,7,710,610
18,107.53473344103392,38,3,50,7,10,610
19,110.7379636937648,70,7,46,6,610,710
20,478.65122873345933,68,4,32,5,1310,210
21,114.48074426655127,31,7,50,7,1310,1610
22,95.28310502283105,31,5,34,4,210,10
23,102.48979591836735,60,4,52,3,10,610
24,119.16202090592334,34,5,68,7,10,610
25,117.98143664245359,47,6,66,5,110,1810
26,111.18410852713178,66,3,46,5,510,10
27,152.99690402476782,52,5,38,4,1410,1910
28,100.40729001584786,37,6,69,3,1310,110
29,107.45058264997841,33,3,58,3,1410,1510
30,106.69306418219462,30,5,63,3,1110,910
31,213.199196326062,52,3,30,7,1110,810
32,109.05061728395061,54,6,55,4,810,810
33,99.5361334156887,31,4,33,3,610,1010
34,113.02966841186736,44,3,70,6,110,510
35,106.25535420098846,55,6,61,7,310,310
36,111.46576058546785,69,7,56,3,810,1310
37,102.76457725947522,30,7,33,5,1110,310
38,108.10564399421129,55,5,49,4,710,10
39,110.85924170616114,42,7,55,5,1010,1910
40,104.22090592334494,57,6,39,4,310,1810
41,98.82766990291262,38,5,46,5,210,210
42,128.00396039603962,49,3,39,7,1310,410
43,115.04296698326549,67,4,61,5,1110,1710
44,109.92231701841041,50,7,44,4,1110,1710
45,145.20199004975123,50,5,30,4,910,110
46,94.58095238095238,35,3,69,5,410,10
47,114.97796024200518,66,6,53,3,1310,1510
48,184.9770992366412,57,7,32,4,1110,310
49,106.76849642004774,36,7,58,5,110,310
50,105.72020725388602,58,3,38,3,910,910
51,117.66666666666667,47,5,66,6,110,1610
52,103.51946107784431,36,7,50,5,910,510
53,126.84807864164432,67,7,52,4,1410,1110
54,155.24106230847804,69,6,30,3,910,1710
55,112.57239937271302,52,7,59,5,810,1810
56,111.28571428571429,58,6,45,7,1010,1710
57,105.08771929824562,47,4,46,5,810,310
58,104.0501204819277,45,3,40,3,910,1310
59,112.54947262682069,35,4,69,5,1010,1110
60,111.53360282971198,64,5,60,4,910,1810
61,246.32855680655067,44,7,30,7,1110,10
62,198.55795148247978,34,5,69,4,410,1810
63,110.70073529411765,33,6,49,4,210,1610
64,111.82909090909091,47,5,57,6,510,1410
65,108.14057783527383,44,6,41,4,1310,1310
66,109.72829131652661,51,4,51,6,1010,1310
67,106.08612754766601,48,4,40,3,1110,510
68,110.71413612565445,70,7,49,6,610,410
69,196.647171620326,61,3,32,4,1110,1910
70,113.26134301270417,51,7,61,5,510,1510
71,99.02791878172589,70,7,33,4,110,310
72,296.00992720052943,57,3,31,3,1310,610
73,180.00315884476535,61,3,41,6,1410,1510
74,106.60205696202532,46,7,59,4,710,610
75,109.89237425635478,62,3,52,7,710,1410
76,103.85993208828523,47,5,50,5,710,510
77,105.17391304347827,62,7,41,6,510,910
78,108.53611898016997,49,5,53,7,910,510
79,118.16995708154506,63,4,57,4,1310,10
80,107.0981098109811,46,6,70,3,610,510
81,100.61587708066581,39,5,40,3,610,210
82,107.30844553243574,66,5,52,7,10,810
83,112.89778840406456,67,4,63,3,1110,610
84,114.32127659574468,31,4,65,4,10,510
85,110.8078125,42,6,59,3,810,1510
86,111.1483437349976,49,3,63,6,1010,1210
87,102.9967845659164,65,4,59,3,210,110
88,105.06831395348837,60,3,56,3,110,610
89,105.42572566875356,47,3,52,3,1110,710
90,111.1806116560877,49,7,66,4,810,1010
91,106.19340896812534,37,6,44,5,1210,710
92,102.200790513834,31,7,50,4,810,510
93,114.03056970819824,42,7,70,3,1010,1810
94,138.19604395604395,67,6,50,5,1210,1410
95,114.82238267148014,63,6,63,7,1010,410
96,104.45024875621891,38,7,48,6,210,610
97,106.21973094170404,61,3,45,6,510,1210
98,107.35570776255707,30,3,54,3,1110,1610
99,102.64172661870504,63,5,34,3,510,910
100,115.79445727482678,59,3,43,6,1010,1610
101,101.92525252525253,59,4,43,4,310,210
102,111.22207792207791,50,5,47,5,1410,1510
103,97.35174418604652,35,7,57,4,710,10
104,103.8125,37,7,47,4,610,610
105,117.52673923331756,69,6,66,7,1010,1810
106,104.6527677929547,42,3,55,5,910,510
107,98.2489019033675,51,6,35,4,110,610
108,109.20501474926253,64,4,61,5,610,810
109,107.45510026155188,34,6,55,3,1310,1710
110,112.79276174062903,54,7,51,3,1410,1410
111,104.0667022411953,39,7,34,5,710,1510
112,96.96943573667711,69,4,32,3,110,1810
113,107.4153005464481,47,3,55,3,510,1210
114,107.47609561752988,50,7,49,5,710,310
115,104.65615305067219,33,5,57,3,1410,810
116,105.1050505050505,68,5,52,6,210,310
117,105.37560975609756,62,4,45,5,510,1610
118,106.52565880721221,50,7,33,5,810,710
119,95.85296646603611,70,3,31,5,10,1410
120,113.11057901610796,53,5,55,7,1410,1310
121,95.78873239436619,33,7,37,4,210,10
122,107.18403755868545,57,3,58,7,810,310
123,112.52525252525253,43,3,62,6,710,1210
124,114.34094052558783,66,6,68,6,410,1110
125,104.7140522875817,59,6,30,3,410,210
126,104.79340141398272,65,4,46,4,110,1310
127,103.38481012658228,31,4,43,3,110,710
128,107.03709677419354,66,6,58,6,110,510
129,212.30179972311953,69,4,43,5,1310,1310
130,149.33064516129033,56,6,36,7,1010,410
131,111.76115896632733,59,3,64,4,1110,210
132,103.09140075716604,48,5,31,5,710,1910
133,103.22986708365912,56,5,45,3,610,710
134,107.22107674684995,33,7,49,6,210,710
135,113.03058280438546,59,3,65,6,610,1610
136,109.63002944062806,42,7,45,6,1410,910
137,110.85732814526588,49,5,48,5,1410,1610
138,103.84230406043437,42,5,47,4,1010,110
139,109.46577017114915,40,4,53,5,510,1610
140,101.05926622765757,42,3,70,5,1010,110
141,108.75940706955531,53,3,57,4,1310,610
142,112.32878492527615,62,5,67,5,810,810
143,104.175,44,7,34,5,610,1710
144,106.23170731707317,59,7,40,4,610,810
145,103.83102040816327,40,6,39,6,710,610
146,104.09970674486803,48,3,50,4,810,610
147,184.63755020080322,33,4,66,7,1010,1510
148,106.89031705227077,50,4,46,4,10,1410
149,107.1546875,47,6,48,3,1010,910
150,95.41279069767442,31,5,46,5,510,10
151,114.82878228782288,38,5,56,7,210,1910
152,104.57441253263707,41,3,59,5,410,410
153,124.69774919614147,37,5,65,6,110,1810
154,110.71490593342982,42,6,58,5,10,710
155,110.14736387208298,41,4,54,6,1410,1610
156,102.56260162601626,62,5,31,6,310,310
157,119.73893805309734,66,7,69,7,210,1510
158,104.09690721649484,41,5,37,6,310,1410
159,98.39833333333333,64,5,32,3,210,410
160,98.71303587051618,37,3,30,3,10,1210
161,105.98343848580441,59,5,46,5,110,1710
162,104.15835929387332,45,3,41,4,810,1410
163,110.30592441266599,50,5,51,7,810,1510
164,110.57036247334754,64,7,69,5,310,710
165,109.55453991468617,55,4,53,6,510,1810
166,102.87528517110266,39,3,31,5,1010,410
167,112.19337670017741,44,5,67,5,610,1110
168,104.61512319456244,58,7,42,4,10,1510
169,110.02362204724409,56,5,55,3,110,1510
170,113.3386075949367,68,6,64,3,110,1910
171,97.24968314321926,32,4,32,4,410,410
172,107.06142506142506,37,7,61,4,110,310
173,227.88894052044608,63,6,40,6,1310,1410
174,101.92914979757084,52,5,48,3,210,810
175,108.0885989010989,40,7,43,7,310,1210
176,104.68639798488665,32,4,44,4,510,1110
177,103.07404255319149,38,6,69,3,810,410
178,103.4494909945184,38,5,65,5,910,410
179,105.5582431572247,41,4,41,7,410,1610
180,107.09110535405873,37,3,54,3,1310,1910
181,107.70757967269596,47,4,42,3,1210,1710
182,103.09871668311945,49,7,41,4,110,910
183,115.66147635524798,42,6,67,7,610,1710
184,105.4353448275862,36,3,65,6,610,610
185,100.76474926253687,34,3,43,6,810,610
186,110.51875,39,5,59,4,610,1610
187,106.61621621621622,40,4,67,6,1110,710
188,117.31744749596123,68,3,68,6,1310,110
189,199.7027027027027,59,3,34,3,1210,1110
190,99.30190174326466,37,3,68,3,1310,110
191,116.93103448275862,62,6,60,5,1410,210
192,116.69093286835222,67,3,51,5,1210,1610
193,112.91640378548895,67,3,69,7,310,1010
194,104.68055555555556,32,6,56,6,910,610
195,107.99431171786121,64,5,61,4,610,310
196,104.50698757763975,48,6,36,7,510,810
197,104.87686996547757,58,5,53,5,410,510
198,111.68472222222222,58,6,36,7,610,110
199,110.98451730418944,65,6,66,7,610,510
200,102.37284631288766,34,6,70,4,1110,410
201,241.60226354082457,46,6,34,7,1210,210
202,103.78048780487805,36,3,43,4,10,810
203,107.71663066954643,44,6,37,3,1410,1710
204,107.85327783558793,37,6,54,4,910,1110
205,105.70268138801262,30,5,34,7,110,1510
206,104.93275316455696,41,4,54,4,510,810
207,112.78806983511154,60,5,57,6,910,1510
208,99.72278911564626,36,5,36,4,10,610
209,110.44006923409779,44,3,54,6,1210,1710
210,122.4860103626943,70,4,36,7,810,210
211,111.9401913875598,33,5,66,7,510,810
212,111.70449966420416,38,4,64,5,510,1010
213,111.81315240083508,52,4,61,7,810,1510
214,113.13470939706681,54,5,64,5,710,1910
215,111.7945091514143,70,3,47,7,810,410
216,113.98856053384175,64,4,48,6,910,210
217,113.90218470705065,58,6,48,4,1310,910
218,103.23042616451933,33,6,34,4,910,1910
219,107.61453930684699,50,5,46,5,910,310
220,111.72239263803681,35,4,60,5,810,1710
221,112.20490196078431,58,7,58,5,10,1010
222,112.17755102040816,51,3,64,3,10,1010
223,106.49217638691323,36,5,68,6,810,610
224,105.68328611898016,39,6,39,3,1210,610
225,103.47979363714532,30,6,68,5,710,510
226,107.14980158730158,47,4,48,5,1110,1010
227,99.01234567901234,44,3,41,6,110,310
228,105.04398447606727,46,5,67,7,510,310
229,114.75,59,7,63,7,710,1710
230,103.22935779816514,51,3,34,7,210,10
231,98.51549755301795,34,3,60,3,1210,110
232,104.51144538914323,53,5,38,7,410,1710
233,105.89639293937068,57,4,47,5,610,710
234,113.10012947777298,59,4,55,5,1410,1810
235,102.80858369098712,40,6,42,5,510,710
236,108.13693398799782,34,7,69,5,1210,710
237,113.00398582816652,39,4,70,4,1210,1310
238,111.19059785385795,55,4,63,5,1110,910
239,115.23298429319372,53,6,62,7,1210,1510
240,104.15092592592593,50,7,45,6,410,710
241,111.86749594375338,61,3,61,6,710,1310
242,120.8913043478261,69,5,44,7,810,110
243,109.69493278179938,70,6,36,4,810,1310
244,103.71065114273394,30,5,35,5,1310,1510
245,105.67980295566502,55,7,54,6,310,310
246,105.10005350454789,55,3,40,3,910,1010
247,113.39045664443304,61,3,70,5,1110,910
248,113.90190609019061,55,5,64,7,1410,1010
249,215.77756743965926,64,4,37,6,1210,1610
250,100.4640776699029,47,4,55,6,410,110
251,111.80150309460655,47,3,60,7,1410,1110
252,98.77435897435898,39,6,48,6,210,10
253,198.1418322295806,59,6,30,7,1010,1010
254,104.53636363636363,69,6,66,4,110,110
255,109.3821399839099,53,5,69,5,1410,110
