Simulation,Tiempo promedio,GGrr (s),yyrr (s),rrGG (s),rryy (s),Autos r_0,Autos r_1
1,50.443086003372684,32,3,53,7,17500,6000
2,52.38538622129436,50,8,58,7,23500,4000
3,38.01565143824027,21,4,22,6,1500,18000
4,60.99864682002706,63,5,42,9,23500,26000
5,59.0767218831735,68,9,52,10,13500,6000
6,70.30434782608695,14,10,25,4,19500,2000
7,79.8512709572742,68,8,25,9,15500,12000
8,77.57061266874351,12,5,30,7,3500,18000
9,65.34265402843602,70,5,38,7,7500,14000
10,88.3593023255814,66,9,19,9,9500,18000
11,72.36858159633961,63,3,26,5,5500,24000
12,89.36304985337243,33,9,10,4,23500,8000
13,83.0829596412556,14,5,57,5,13500,8000
14,84.29342327150084,49,4,16,10,13500,26000
15,79.80967741935484,68,9,25,7,17500,24000
16,76.61761658031088,15,9,39,5,3500,24000
17,74.48192771084338,43,6,22,9,13500,18000
18,80.75108225108225,34,3,13,8,3500,16000
19,51.480557903634825,36,3,60,9,15500,14000
20,66.49521072796935,30,9,69,10,19500,14000
21,65.0122641509434,69,5,39,9,9500,14000
22,57.129447063866266,64,9,58,8,9500,18000
23,85.59746251441753,62,8,17,3,15500,24000
24,77.2374405076679,66,10,26,5,11500,18000
25,52.577118644067795,55,6,66,4,15500,26000
26,63.373203523412144,18,3,41,3,5500,22000
27,56.949372565988746,53,3,40,7,7500,10000
28,58.14901098901099,61,4,43,7,11500,14000
29,45.092372881355935,39,6,44,4,5500,26000
30,94.32556675062972,69,4,13,10,3500,10000
31,39.061603375527426,22,7,29,3,17500,4000
32,65.10198431010613,38,8,25,4,21500,10000
33,74.66270661157024,21,8,60,8,13500,26000
34,56.36716417910448,48,5,42,10,7500,22000
35,72.98866563626996,21,6,69,3,5500,6000
36,80.84291799787007,17,10,48,9,23500,4000
37,77.10263157894737,20,8,59,10,17500,12000
38,56.98052790999567,26,10,42,4,11500,24000
39,58.76521739130435,52,9,68,10,13500,22000
40,37.43562684677079,21,5,25,4,13500,10000
41,83.40728100113766,56,4,15,3,1500,12000
42,65.65735920492192,23,10,51,4,17500,20000
43,52.60144619310932,66,4,51,5,9500,28000
44,65.30465116279069,40,5,24,4,11500,8000
45,68.43943109367336,25,8,65,6,23500,14000
46,75.84740429994756,21,4,68,9,9500,8000
47,65.54710664753706,65,3,33,5,19500,28000
48,79.65900383141762,57,6,19,4,9500,16000
49,74.55618850336613,56,4,22,5,5500,2000
50,63.601115760111576,67,4,39,9,19500,8000
51,51.94375798892203,39,8,65,5,9500,20000
52,57.639117265253134,43,9,35,3,1500,2000
53,97.14685314685315,67,10,13,9,3500,20000
54,89.84985835694052,21,10,10,9,15500,8000
55,86.86981566820276,60,10,18,7,21500,12000
56,54.69791222837665,60,3,49,10,21500,22000
57,60.00806813088301,64,8,44,6,21500,22000
58,63.198015336039695,19,3,32,10,3500,22000
59,78.14255765199161,39,6,17,8,13500,18000
60,100.10039761431412,11,5,16,9,21500,6000
61,53.741010273972606,34,7,56,9,9500,24000
62,55.2298801369863,16,6,21,6,3500,12000
63,66.23787313432835,27,5,17,3,13500,4000
64,48.60427135678392,43,5,59,5,13500,22000
65,52.69479965899403,32,6,56,4,13500,6000
66,78.47407407407407,56,7,23,9,7500,24000
67,76.7381799694967,22,8,13,6,7500,24000
68,76.79283078545072,68,4,26,8,5500,12000
69,84.22056384742952,63,10,22,10,5500,18000
70,77.05813953488372,69,3,26,10,3500,2000
