Simulation,Tiempo promedio,GGrr (s),yyrr (s),rrGG (s),rryy (s),Autos r_0,Autos r_1
1,74.50465356773526,50,4,20,5,12500,28000
2,69.1639344262295,49,2,21,2,17500,10000
3,35.807269653423496,21,3,27,3,11500,28000
4,35.96960742929506,18,5,21,4,18500,16000
5,87.67024448419797,11,2,56,3,17500,8000
6,49.82436974789916,59,3,57,5,18500,20000
7,78.13382122320962,10,5,25,4,4500,18000
8,58.02669584245076,38,5,27,2,8500,22000
9,53.22573656845754,29,3,56,4,1500,20000
10,48.38432203389831,57,5,53,2,9500,8000
11,55.28725701943844,23,2,17,2,3500,28000
12,54.32086021505376,37,2,27,3,2500,10000
13,85.54922279792746,11,2,47,5,14500,6000
14,78.2791077257889,52,2,16,2,9500,20000
15,42.77979712595097,41,4,39,3,3500,4000
16,59.15568083261058,12,5,15,4,11500,22000
17,47.17054591620821,51,2,52,5,13500,4000
18,47.252217997465145,44,5,57,3,5500,26000
19,44.260887949260045,48,2,39,5,18500,16000
20,73.27216494845361,19,5,60,4,13500,22000
21,51.58283772302464,31,5,55,4,3500,22000
22,76.80562793121418,30,5,13,4,3500,18000
23,46.96378947368421,37,5,56,5,10500,20000
24,82.93280632411067,56,5,16,3,2500,6000
25,42.740380549682875,43,3,42,3,17500,8000
26,68.33870967741936,31,5,19,5,16500,18000
27,79.1148429035753,33,2,11,4,9500,10000
28,38.174703891708965,34,2,30,3,3500,24000
29,67.42095146564152,46,5,24,3,19500,28000
30,39.15883100381195,30,3,29,5,16500,2000
31,65.29543336439887,12,2,26,2,14500,12000
32,79.19463806970509,10,4,31,2,11500,2000
33,44.89611486486486,42,3,50,4,10500,10000
34,46.67724196277496,51,2,38,3,16500,18000
35,67.84375,13,3,30,2,5500,12000
36,59.149227373068435,41,3,28,4,16500,4000
37,35.626266891891895,15,5,17,4,16500,10000
38,81.31072210065645,27,3,10,5,14500,6000
39,65.24415832141155,50,4,25,2,1500,8000
40,80.96329254727475,14,5,55,4,11500,14000
41,63.830641439778496,38,5,23,2,14500,28000
42,59.06707855251545,46,5,33,5,2500,8000
43,30.678616617460985,13,2,15,2,4500,8000
44,43.75222740772168,35,4,50,3,16500,20000
45,38.371356147021544,23,4,31,4,9500,24000
46,58.05997392438071,44,5,34,5,17500,20000
47,47.124684077506316,50,3,57,3,15500,10000
48,46.308929327126535,52,3,51,3,5500,6000
49,70.3247140726007,42,3,18,2,7500,14000
50,45.31051964512041,45,4,50,3,16500,22000
51,60.96328195829556,48,2,29,4,8500,16000
52,55.67039586919105,26,4,20,2,19500,6000
53,66.80989330746847,58,4,28,3,13500,10000
54,63.40232018561485,50,4,28,3,10500,4000
55,47.86976744186047,49,5,49,5,12500,26000
56,59.174944071588364,50,2,32,5,1500,2000
57,43.94070309191021,39,4,44,4,4500,18000
58,40.97422898183355,35,4,40,2,6500,12000
59,45.4344331641286,37,4,54,4,8500,2000
60,51.32330508474576,30,5,51,5,17500,2000
61,32.41441821247892,19,2,17,2,7500,4000
62,60.38625056535504,22,3,46,5,3500,10000
63,40.864040660736975,26,5,37,4,14500,2000
64,81.30914127423823,40,3,12,3,4500,18000
65,62.50666054203032,17,3,36,3,18500,24000
66,33.67116357504216,20,2,24,2,6500,18000
67,55.1985002205558,29,3,59,4,2500,22000
68,84.97239792984473,46,3,12,3,5500,2000
69,85.00230414746544,12,2,55,4,2500,10000
70,76.14760914760915,13,5,36,4,11500,24000
71,40.1294964028777,35,3,39,2,1500,14000
72,45.77443927211172,37,5,55,3,2500,24000
73,44.9136690647482,55,2,44,2,1500,20000
74,42.0595690747782,40,4,39,2,5500,28000
75,38.41332770982708,25,4,33,3,10500,14000
76,61.779059040590404,24,5,55,3,13500,24000
77,42.68274111675127,38,2,51,2,19500,18000
78,60.6531348669373,40,2,25,4,6500,28000
79,45.372723422278696,48,4,44,4,15500,12000
80,56.7094127806563,10,4,12,2,17500,10000
81,61.04149933065596,36,5,25,4,15500,20000
82,71.90735146022155,41,4,18,3,3500,18000
83,39.78172588832487,28,3,37,4,2500,4000
84,40.87986463620982,36,3,35,4,2500,28000
85,67.52281553398058,56,5,27,2,15500,10000
86,41.97921967769296,33,5,35,5,8500,22000
87,64.79278012189404,15,2,34,3,1500,14000
88,40.286257928118395,29,2,45,3,8500,26000
89,77.90894308943089,58,2,18,3,4500,4000
90,86.49798038084246,11,5,45,4,2500,24000
91,39.43377063055438,22,5,33,4,15500,26000
92,43.01816645542881,37,5,37,4,14500,16000
93,43.019881556683586,33,3,50,3,3500,26000
94,95.66433566433567,10,4,11,5,13500,22000
95,30.416947723440135,12,2,14,2,19500,14000
96,34.69097807757167,20,4,20,2,14500,14000
97,83.01024473534434,13,3,56,3,19500,24000
98,49.6713987473904,50,5,60,5,1500,26000
99,78.21007038440715,55,4,18,3,1500,12000
100,36.85122569737954,21,5,28,2,19500,6000
