Simulation,Tiempo promedio,GGrr (s),yyrr (s),rrGG (s),rryy (s)
1,42.273792093704245,54.3799627390565,2.275227638068066,45.52100300718501,2.452632900749996
2,47.8169868554095,21.506975256391744,4.334560571264834,10.419553962245335,2.9885164377016076
3,37.67295046032442,32.006911139788755,3.209168882685349,39.41209908199302,4.236099814551526
4,41.20877025738799,41.769052192863015,2.2307236308936895,51.53788924488931,3.4134456020028536
5,44.88586118251928,53.76479471991844,2.6040546038093657,58.15053310262055,2.9812329560341655
6,42.00383509108341,41.31724723313584,3.561964303897688,47.931257182156266,3.959152775353764
7,32.5055900621118,19.147882732671548,2.2582760966906292,28.56976246353494,4.125710178513536
8,44.598073998986315,59.584244977611135,3.1754187447257562,50.21807285333253,2.3287278996598326
9,35.298685291700906,26.6843266717423,2.1110232639166506,23.56875421074472,4.244258722965509
10,41.29807240244476,12.197522174512612,3.31192339164911,24.201299680410767,3.4099018596216015
11,42.892753623188405,12.447608232970321,4.737496361833646,26.398992391392337,3.399549199631399
12,40.744844124700236,16.675674467198107,4.328605086908041,39.236423585230874,4.093873335814778
13,39.79815623483746,21.91334359729519,2.3816530140473917,52.387444899889545,4.789869280240784
14,51.31301482701812,45.98179706920889,4.028817300721181,14.414766428334682,3.227583491257443
15,43.82851445663011,59.20619857101577,3.6768837424365928,41.86499396740929,3.349458570641724
16,44.61983887210474,58.67678516935709,4.522200025963691,40.85868632818705,3.60146240213016
17,34.52581755593804,21.749054763737774,3.833567872921739,33.88517223994833,3.3352848380107663
18,45.397337429595495,47.49674218320639,3.7647879137792164,57.02439823234866,4.794697053149268
19,28.575872215216478,15.782913545806556,3.698525101669067,16.114420574701175,2.5142538084897597
20,41.5259222333001,19.901881707366844,2.7729140407370187,55.59292202745069,4.886392530942785
21,45.105048444671084,54.86224161696593,3.8703760952275594,47.34551301206771,4.778457456264528
22,42.32532956685499,46.10542075356392,4.383553256658464,23.78066337327899,3.148803390181664
23,50.8547149122807,49.632950643709634,3.369402202572081,15.580638841500024,3.501752364549366
24,42.713738630923885,56.54135119897278,3.68741240994893,26.232026874847577,3.0923349430160734
25,46.908063687724706,47.67507237613951,2.9952833975600464,18.86142156040166,3.3505458745266465
26,36.62182296231376,25.596976288732044,4.115686315130051,37.17777883909184,4.15289296367164
27,35.122754491017965,25.976005946749446,2.8740601382955018,34.018017505000685,4.612575725637592
28,41.17638691322902,55.95624336353089,2.450433324168096,32.84369329145035,3.9899240493772052
29,40.11861228316925,39.39657490107578,2.032719134829757,52.83521970191385,2.1535376948990557
30,36.98517577297755,29.99834537538912,4.967784092885227,31.67409078415273,4.920864604576875
31,46.57511155180962,31.20310129455968,4.846055398982952,15.746352911211062,4.330662769790516
32,38.29105473965287,45.25323177594206,2.215276416005082,34.10157147126769,3.104380767254186
33,50.310818231740804,53.53610922363209,2.207927610435648,15.916968375983739,2.490711077748705
34,36.898200965335676,13.73671762981883,2.7963671725261667,23.32500097053148,3.3278271014186136
35,41.76635967038294,45.686202760950565,2.361701705869238,53.49351902278016,2.070521295917757
36,39.52900867976245,33.24121820793597,3.5675326891601458,46.283319421837206,3.7728366438535774
37,30.330252100840337,17.18455178376568,3.4491693530749084,18.673169616138082,4.42465304706626
38,46.446764091858036,56.73362624249797,4.682763085878669,54.511738068105245,3.1241570307934454
39,45.55749486652977,50.141848332308854,3.920095866755418,54.49431798448399,4.467782290032085
40,43.801859099804304,51.300651197169906,3.4444009628744006,23.167464325012812,4.3830904037431075
41,45.69659735349716,16.96298955028788,4.604595177513678,12.000531027213038,4.691841694841722
42,40.4463040446304,52.98085192395045,2.3087440286084533,33.922758659665256,3.2709575173197134
43,42.93019873969946,59.770251457566474,3.21419855823345,31.073587598735877,4.834596435271719
44,43.98645379777455,38.63919465751569,2.083928458752344,19.223897609543073,4.372149078325541
45,39.75739644970414,49.78026562107192,2.3798757943598905,30.765466111269447,4.145418414732303
46,52.676888131743326,59.5089602584568,2.271189222637771,15.807510156729768,3.650150330600351
47,42.446241674595626,55.49858453959487,4.786430253105362,27.464333669649257,3.1236153735417718
48,42.83508102955195,34.27257430201652,2.255442818321849,17.249517400403306,2.180941133981387
49,51.74459833795014,50.70236196737517,3.793043970835478,15.23715275698593,3.60383030978149
50,48.91489361702128,12.431656170641489,2.956327738454008,50.9545855325062,2.8733413165386987
51,44.77743902439025,55.06245180303867,4.474771389109165,47.2685335899121,3.653902882767254
52,42.92285714285714,51.74491802562712,3.885971792719732,25.834202270142722,4.484060318753833
53,48.07478524507327,20.474435710671614,4.212233242269194,10.313798199104365,3.228269392585631
54,39.35419501133787,42.40209974034522,3.892352943528649,37.89968638497652,2.556118659179183
55,39.212457749879285,19.237451506560635,3.2314869503671773,49.8217358053089,2.6265037531394113
56,39.84834344377042,15.230932274897087,3.6153260327095618,31.48669034167659,3.7839728606546155
57,41.10672514619883,15.89118511085327,3.013795132616621,40.79063609173262,4.660911587987254
58,36.09726962457338,40.63685362324014,2.1455340819273947,33.488340614791866,2.226428246675328
59,39.18284936479129,37.7570689729593,2.3644490256130006,42.195693547549936,4.678416787498781
60,52.01788805539527,10.008137985046213,3.0448143985878824,41.43972082551745,4.509207929498967
61,44.266391326794015,15.43356948900735,4.812277743713924,48.86695391075373,2.21161318809031
62,45.136923076923075,47.22579832588832,4.532420542654545,59.67269430961597,3.2454281060855155
63,42.45635305528613,51.91709244769073,2.852944810853602,42.013269598222735,3.909375562410295
64,41.994714079769345,41.05171052314677,4.5670026953477105,49.73220009539957,2.6826584778163483
65,41.039927404718696,43.23565380122421,4.467284491351935,25.4002230330051,4.402385198445227
66,40.026423690205014,49.78369144958163,2.418941214395641,28.46185977899848,4.55108830942709
67,39.258761401824295,21.20502884469221,4.217509905406924,51.27275368031653,2.1574021609374383
68,51.33557422969188,57.027925237157774,2.1991700174676225,15.845211924173693,3.279691694936283
69,32.22482531853679,18.357566192846782,4.597472789488609,24.344934068134773,3.582377546926543
70,28.15475189234651,13.822104683376338,3.6029741260852335,17.050938858806898,2.2375609324438526
71,46.96187532199897,47.784673874752784,3.411930006000728,18.313464198797742,2.2416894550915436
72,40.46372093023256,51.00058506479836,2.9916290855039036,35.32470495210847,2.9092738129062967
73,55.530285035629454,49.78209764245017,2.5791655864576843,11.273439066148885,4.610807271526483
74,36.827716933445664,33.37048613831779,4.037937026111857,26.323188457451828,3.3324220873095514
75,38.91861951427354,23.585624482121272,4.637031610220985,20.47600086380645,3.9596561090448046
76,40.68996247654784,50.29508046762072,2.56633816808626,36.98627033090989,3.3895992412212883
77,55.71952662721893,56.573855773813534,4.395674907303927,13.473162978355326,4.588526802225356
78,41.55311890838207,16.599121142864533,4.822196344811847,41.40830180053881,4.116960157819963
79,50.57776560788609,47.21399134043858,2.2059960198353905,14.648673347496047,3.9899171157190496
80,43.38172839506173,54.573105898421375,3.04263627382683,40.903689296537074,4.903611101709667
81,37.47506448839209,40.04130384960602,4.690671420079047,28.341662848090284,2.5791755279318527
82,39.38837920489296,30.981122819886703,3.513394320287894,22.79293680091449,4.854688535738472
83,42.781586679725756,14.122183566060183,4.06996244233063,33.80870831792936,4.543346807843948
84,43.6390977443609,57.15694690936973,2.0443394285411878,47.71166436595789,3.7252188617307116
85,38.15908086610694,41.2327773309904,2.5467346869541565,34.14198696896189,3.975844953397549
86,51.30605187319885,10.814326850299674,2.911000165888144,46.89550463367668,3.895432468744744
87,41.626528692380056,52.05380593431625,4.494937828648182,30.776545339360247,4.2210614961378585
88,42.94798822374877,52.97478038796911,3.6130044814247873,46.251331750244994,2.20333819643769
89,35.4457935819601,19.246991000157315,4.093382435200207,31.65468691324793,4.58473591776478
90,41.66218809980806,58.91290234097795,2.5923027235201657,27.089429492925547,2.0557553534599164
91,51.02094522019334,32.36243034241464,3.4766757574206997,11.840861335448668,4.379216268625492
92,41.98411169956668,48.130987175132645,2.2759705323273653,48.170107667290495,3.4486963149414223
93,45.86553831687823,14.482832468483789,4.903928858896558,11.158456024743842,4.708448420372372
94,46.17769857433809,10.022093447599602,4.885233390818854,23.301867129898945,2.811255177424928
95,38.46527777777778,11.734023328813155,4.346986656654156,15.209711625076519,3.475422338316451
96,37.93752957879792,22.014024905622605,2.251414627966381,51.311324064047206,2.131910354105086
97,44.32843385707045,11.58674463759912,2.366223002229701,31.56301195035979,3.2981709684651106
98,41.288561936402466,41.26158837752753,4.535657874090952,48.21245840503136,2.210819391535347
99,44.92189105858171,57.85388683705384,3.0538343718959218,51.69100608340687,3.210020617526853
100,42.65562591329761,56.42468148644279,3.786394875718844,38.15532970167688,3.0778571599529565
