Simulation,Tiempo promedio,GGrr (s),yyrr (s),rrGG (s),rryy (s),Autos r_0,Autos r_1
1,63.77416440831075,36,7,27,7,5810,7610
2,63.598439651216154,39,6,25,4,6610,3410
3,40.32953105196451,31,4,37,3,4610,9010
4,75.45416666666667,51,5,20,5,4810,2010
5,62.234301780693535,65,2,34,3,5410,7710
6,49.35581787521079,41,7,52,7,2610,4110
7,58.8921308576481,53,4,37,6,5910,7210
8,40.347169811320754,62,2,40,6,410,4210
9,48.32845800250731,48,3,62,4,4310,3610
10,44.71356783919598,52,7,60,7,410,10
11,56.63859649122807,56,4,37,2,2010,2910
12,41.06762589928058,33,2,44,4,910,4410
13,63.24761472058155,21,7,38,7,4810,3210
14,44.15300084530854,33,7,44,3,5310,5910
15,65.33013435700576,63,3,31,3,1210,4910
16,57.19370354175776,52,6,36,2,5910,5010
17,72.91202498698594,20,4,65,7,2910,1110
18,61.05821764442454,47,6,33,6,5410,2510
19,41.58900634249471,44,2,40,2,6710,6510
20,55.390845070422536,67,3,44,3,1410,9510
21,44.62881355932203,37,6,35,6,5310,4410
22,57.62568058076225,28,2,64,3,5110,8510
23,56.29283639883833,55,6,43,4,2610,910
24,73.29019003595275,49,5,20,3,5310,8410
25,57.220017636684304,59,2,40,6,6110,3210
26,66.74025974025975,56,2,28,6,5710,1710
27,38.90902919212491,29,6,64,5,5510,310
28,63.72451790633609,43,4,27,6,3410,1410
29,43.845990666100974,45,2,46,4,6710,4310
30,73.2268305171531,69,4,28,7,6210,3510
31,36.49704641350211,28,2,26,3,4910,8110
32,39.66807432432432,35,3,32,3,2810,3810
33,47.432867429055484,49,2,53,6,1710,9710
34,45.68272125225768,43,7,59,4,3510,510
35,42.82425010561893,38,3,36,6,3210,2210
36,43.96997885835095,32,6,43,5,4510,9610
37,41.0290665176076,57,6,28,6,610,2110
38,60.13359964491789,46,6,33,5,3310,6810
39,63.209606986899566,46,2,24,7,1010,6610
40,64.66396953831509,23,6,58,2,1310,4210
41,41.762489415749364,27,4,47,2,6710,8410
42,62.60715946071595,67,2,37,6,1510,7910
43,55.80610021786492,27,5,49,5,2710,3510
44,49.609863496257155,55,7,47,5,1110,5810
45,45.746192893401016,50,5,45,2,4710,2210
46,55.492184199408534,58,7,65,7,6710,7110
47,59.2982052462034,28,4,67,2,1610,3810
48,41.56011854360711,33,7,32,3,4110,7810
49,43.49451013513514,40,4,38,5,6310,4010
50,40.25352822580645,31,3,53,2,1510,810
