Simulation,Tiempo promedio,GGrr (s),yyrr (s),rrGG (s),rryy (s),Autos r_0,Autos r_1
1,70.08048192771085,20.797548073895125,3.2858284293827693,12.57926692960796,4.742645989728478,15000,10000
2,75.58940744625066,47.05580208667722,4.773003294457728,18.168463526202835,3.7983881574311447,3000,10000
3,61.910347903657446,28.44423462597216,3.77233156091244,21.312687755351647,4.992959414474655,7500,2000
4,58.809762773722625,26.197666885944773,4.6905285305129745,59.16188185588467,2.2429123320941353,7500,10000
5,57.76879370629371,18.6541542262817,3.9034336145367865,15.281995914642561,2.8836495649268388,1500,6000
6,76.34901122394442,15.643472729809517,2.7757267662113043,55.63640932818461,4.10150827896682,6000,14000
7,66.56005719733079,44.16201126391649,4.122589347920044,22.92888635291699,3.211532634265555,13500,12000
8,62.07512597343106,50.39792960617509,3.4153614082046064,29.645013413959152,3.8802121075457037,4500,14000
9,44.085350318471335,35.16076739079122,4.333368829052842,49.23142884798356,3.381950367622033,16500,8000
10,81.38189845474614,10.05219777414715,4.124722623318835,34.64871281142467,2.6129324050286007,16500,12000
