Simulation,Tiempo promedio,Autos r_0,Autos r_1,Autos r_2
1,45.83377308707124,1,1,20000
2,45.91301460823373,1,1,2000
3,45.861794019933555,1,1,14000
4,45.83388704318937,1,1,20000
5,46.14351851851852,1,1,4000
6,45.64993394980185,1,1,14000
7,46.15353805073431,1,1,8000
8,45.89821546596166,1,1,26000
9,45.92384769539078,1,1,8000
10,45.43889618922471,1,1,12000
11,46.05235255135852,1,1,8000
12,45.846768820786146,1,1,14000
13,45.858189081225035,1,1,22000
14,45.79641909814324,1,1,2000
15,45.78118745830554,1,1,26000
16,45.76688741721854,1,1,6000
17,45.658068783068785,1,1,8000
18,45.78448275862069,1,1,10000
19,45.8454363757495,1,1,2000
20,45.95403064623584,1,1,16000
